week,date,dayofweek,homeTeam,awayTeam
1,2015-09-10,Thursday,New England Patriots,Pittsburgh Steelers
1,2015-09-13,Sunday,Buffalo Bills,Indianapolis Colts
1,2015-09-13,Sunday,Washington Redskins,Miami Dolphins
1,2015-09-13,Sunday,Jacksonville Jaguars,Carolina Panthers
1,2015-09-13,Sunday,St. Louis Rams,Seattle Seahawks
1,2015-09-13,Sunday,Chicago Bears,Green Bay Packers
1,2015-09-13,Sunday,New York Jets,Cleveland Browns
1,2015-09-13,Sunday,Houston Texans,Kansas City Chiefs
1,2015-09-13,Sunday,Arizona Cardinals,New Orleans Saints
1,2015-09-13,Sunday,San Diego Chargers,Detroit Lions
1,2015-09-13,Sunday,Denver Broncos,Baltimore Ravens
1,2015-09-13,Sunday,Oakland Raiders,Cincinnati Bengals
1,2015-09-13,Sunday,Tampa Bay Buccaneers,Tennessee Titans
1,2015-09-13,Sunday,Dallas Cowboys,New York Giants
1,2015-09-14,Monday,Atlanta Falcons,Philadelphia Eagles
1,2015-09-14,Monday,San Francisco 49ers,Minnesota Vikings
2,2015-09-17,Thursday,Kansas City Chiefs,Denver Broncos
2,2015-09-20,Sunday,Washington Redskins,St. Louis Rams
2,2015-09-20,Sunday,New York Giants,Atlanta Falcons
2,2015-09-20,Sunday,Cleveland Browns,Tennessee Titans
2,2015-09-20,Sunday,Cincinnati Bengals,San Diego Chargers
2,2015-09-20,Sunday,Buffalo Bills,New England Patriots
2,2015-09-20,Sunday,Carolina Panthers,Houston Texans
2,2015-09-20,Sunday,Chicago Bears,Arizona Cardinals
2,2015-09-20,Sunday,Pittsburgh Steelers,San Francisco 49ers
2,2015-09-20,Sunday,New Orleans Saints,Tampa Bay Buccaneers
2,2015-09-20,Sunday,Minnesota Vikings,Detroit Lions
2,2015-09-20,Sunday,Jacksonville Jaguars,Miami Dolphins
2,2015-09-20,Sunday,Oakland Raiders,Baltimore Ravens
2,2015-09-20,Sunday,Philadelphia Eagles,Dallas Cowboys
2,2015-09-20,Sunday,Green Bay Packers,Seattle Seahawks
