year,rank,player,position,team
2011,1,Tom Brady,Quarterback,New England Patriots
2011,2,Peyton Manning,Quarterback,Indianapolis Colts
2011,3,Adrian Peterson,Running back,Minnesota Vikings
2011,4,Ray Lewis,Linebacker,Baltimore Ravens
2011,5,Ed Reed,Safety,Baltimore Ravens
2011,6,Troy Polamalu,Safety,Pittsburgh Steelers
2011,7,Andre Johnson,Wide receiver,Houston Texans
2011,8,Darrelle Revis,Cornerback,New York Jets
2011,9,Drew Brees,Quarterback,New Orleans Saints
2011,10,Julius Peppers,Defensive end,Chicago Bears
2011,11,Aaron Rodgers,Quarterback,Green Bay Packers
2011,12,DeMarcus Ware,Linebacker,Dallas Cowboys
2011,13,Chris Johnson,Running back,Tennessee Titans
2011,14,Larry Fitzgerald,Wide receiver,Arizona Cardinals
2011,15,Dwight Freeney,Defensive end,Indianapolis Colts
2011,16,Charles Woodson,Cornerback,Green Bay Packers
2011,17,Haloti Ngata,Defensive tackle,Baltimore Ravens
2011,18,Nnamdi Asomugha,Cornerback,Oakland Raiders
2011,19,Clay Matthews,Linebacker,Green Bay Packers
2011,20,Michael Vick,Quarterback,Philadelphia Eagles
2011,21,James Harrison,Linebacker,Pittsburgh Steelers
2011,22,Antonio Gates,Tight end,San Diego Chargers
2011,23,Patrick Willis,Linebacker,San Francisco 49ers
2011,24,Roddy White,Wide receiver,Atlanta Falcons
2011,25,Arian Foster,Running back,Houston Texans
2011,26,Philip Rivers,Quarterback,San Diego Chargers
2011,27,Calvin Johnson,Wide receiver,Detroit Lions
2011,28,Jake Long,Offensive tackle,Miami Dolphins
2011,29,DeSean Jackson,Wide receiver,Philadelphia Eagles
2011,30,Maurice Jones-Drew,Running back,Jacksonville Jaguars
2011,31,Reggie Wayne,Wide receiver,Indianapolis Colts
2011,32,Devin Hester,Wide receiver,Chicago Bears
2011,33,Jamaal Charles,Running back,Kansas City Chiefs
2011,34,Jahri Evans,Guard,New Orleans Saints
2011,35,Vince Wilfork,Defensive tackle,New England Patriots
2011,36,Jason Witten,Tight end,Dallas Cowboys
2011,37,Jonathan Vilma,Linebacker,New Orleans Saints
2011,38,Steven Jackson,Running back,St. Louis Rams
2011,39,Logan Mankins,Guard,New England Patriots
2011,40,Terrell Suggs,Linebacker,Baltimore Ravens
2011,41,Ben Roethlisberger,Quarterback,Pittsburgh Steelers
2011,42,Michael Turner,Running back,Atlanta Falcons
2011,43,Joe Thomas,Offensive tackle,Cleveland Browns
2011,44,Robert Mathis,Defensive end,Indianapolis Colts
2011,45,Dwayne Bowe,Wide receiver,Kansas City Chiefs
2011,46,Tony Gonzalez,Tight end,Atlanta Falcons
2011,47,Nick Mangold,Center,New York Jets
2011,48,Champ Bailey,Cornerback,Denver Broncos
2011,49,Brian Urlacher,Linebacker,Chicago Bears
2011,50,Wes Welker,Wide receiver,New England Patriots
2011,51,Ndamukong Suh,Defensive tackle,Detroit Lions
2011,52,Matt Ryan,Quarterback,Atlanta Falcons
2011,53,Marques Colston,Wide receiver,New Orleans Saints
2011,54,Asante Samuel,Cornerback,Philadelphia Eagles
2011,55,Carl Nicks,Guard,New Orleans Saints
2011,56,Ray Rice,Running back,Baltimore Ravens
2011,57,Andre Gurode,Center,Dallas Cowboys
2011,58,Brandon Lloyd,Wide receiver,Denver Broncos
2011,59,Jeff Saturday,Center,Indianapolis Colts
2011,60,Justin Tuck,Defensive end,New York Giants
2011,61,Brandon Marshall,Wide receiver,Miami Dolphins
2011,62,Jerod Mayo,Linebacker,New England Patriots
2011,63,Cameron Wake,Defensive end,Miami Dolphins
2011,64,Tamba Hali,Defensive end,Kansas City Chiefs
